X 		 Y
 -282.0	-472.0	0
 277.0	468.0	0
 141.0	225.0	0
 2.0	-20.0	-5
 -144.0	-225.0	0
 -1.0	2.0	0
 149.0	224.0	0
 5.0	-1.0	10
 8.0	0.0	20
 8.0	0.0	30
 5.0	1.0	40
 1.0	0.0	40
 1.0	-1.0	40
 -5.0	80.0	30
 -96.0	184.0	15
 288.0	127.0	-5
 137.0	-72.0	-5
 154.0	114.0	0
 -8.0	36.0	-10
 -43.0	-82.0	-25
 -49.0	-42.0	-40
 -194.0	98.0	-45
 -44.0	78.0	-55
 22.0	109.0	-45
 -84.0	55.0	-55
 9.0	36.0	-45
 -11.0	17.0	-55
 -235.0	-628.0	0
 30.0	173.0	5
 195.0	305.0	0
 -28.0	-209.0	0
 151.0	245.0	0
 24.0	78.0	10
 65.0	28.0	20
 143.0	-2.0	25
 41.0	-3.0	35
 17.0	3.0	45
 74.0	0.0	55
 36.0	8.0	65
 24.0	2.0	75
 100.0	-18.0	80
 48.0	4.0	90
 29.0	2.0	100
 54.0	-2.0	110
 94.0	-12.0	115
 116.0	-11.0	120
 37.0	13.0	130
 30.0	-3.0	140
 21.0	28.0	150
 14.0	12.0	160
 13.0	3.0	170
 -350.0	-320.0	0
 -484.0	-425.0	0
 -540.0	258.0	0
 193.0	318.0	0
 78.0	110.0	10
 29.0	46.0	20
 27.0	13.0	30
 17.0	8.0	40
 139.0	0.0	45
 43.0	0.0	55
 -29.0	8.0	45
 36.0	-5.0	50
 73.0	4.0	60
 73.0	-4.0	70
 65.0	-4.0	80
 51.0	-2.0	90
 88.0	-6.0	95
 36.0	2.0	105
 -41.0	18.0	95
 -12.0	8.0	85
 118.0	-25.0	90
 158.0	-1.0	95
 28.0	11.0	105
 109.0	0.0	115
 123.0	-27.0	120
 55.0	-16.0	125
 -1.0	2.0	125
 -29.0	15.0	115
 -145.0	-7.0	105
 -555.0	25.0	0
 -298.0	10.0	0
 -102.0	4.0	-10
 -46.0	6.0	-20
 -21.0	5.0	-30
 -116.0	-325.0	0
 285.0	200.0	-5
 89.0	70.0	5
 107.0	22.0	15
 70.0	18.0	25
 46.0	10.0	35
 25.0	1.0	45
 73.0	-6.0	50
 86.0	5.0	60
 110.0	-16.0	65
 71.0	-9.0	70
 -262.0	-324.0	0
 289.0	209.0	-5
 238.0	67.0	0
 39.0	44.0	10
 15.0	13.0	20
 27.0	4.0	30
 -370.0	-320.0	0
 -248.0	224.0	-10
 -329.0	81.0	0
 -236.0	35.0	-5
 -23.0	15.0	-15
 -8.0	5.0	-25
 0.0	2.0	-25
 16.0	0.0	-15
 229.0	-9.0	-15
 60.0	2.0	-5
 3.0	0.0	-5
 0.0	0.0	-5
 156.0	0.0	0
 127.0	-5.0	0
 93.0	-8.0	5
 67.0	-6.0	10
 30.0	1.0	20
 96.0	0.0	30
 58.0	18.0	40
 124.0	-8.0	45
 31.0	8.0	55
 -2.0	26.0	55
 42.0	-10.0	60
 -691.0	5.0	0
 -226.0	-4.0	-5
 -280.0	8.0	0
 24.0	-73.0	5
 -15.0	-91.0	-10
 -174.0	-604.0	0
 24.0	145.0	5
 2.0	9.0	5
 111.0	320.0	0
 148.0	128.0	0
 -64.0	-260.0	0
 155.0	238.0	0
 126.0	70.0	5
 59.0	18.0	15
 -115.0	-315.0	0
 152.0	214.0	0
 57.0	69.0	10
 41.0	25.0	20
 155.0	-6.0	20
 151.0	-14.0	20
 65.0	23.0	30
 102.0	12.0	40
 112.0	-9.0	45
 26.0	-5.0	50
 89.0	-18.0	55
 -377.0	-312.0	0
 -260.0	223.0	-5
 -396.0	84.0	0
 -133.0	28.0	-5
 -62.0	23.0	-15
 110.0	6.0	-5
 200.0	0.0	0
 332.0	4.0	0
 215.0	-23.0	0
 76.0	-3.0	10
 51.0	-6.0	15
 76.0	-1.0	25
 79.0	14.0	35
 55.0	-9.0	40
 90.0	-20.0	45
 -9.0	25.0	35
 -384.0	-311.0	0
 -555.0	211.0	-5
 -132.0	79.0	-10
 -1.0	17.0	-10
 -73.0	178.0	-25
 -107.0	157.0	-40
 -68.0	27.0	-50
 -165.0	-791.0	0
 92.0	144.0	5
 -140.0	-361.0	0
 464.0	89.0	0
 -153.0	-333.0	0
 248.0	263.0	0
 -159.0	-45.0	-10
 -242.0	-274.0	0
 582.0	179.0	-5
 -5.0	-26.0	-20
 -51.0	-31.0	-35
 -22.0	28.0	-45
 -41.0	62.0	-55
 -14.0	18.0	-65
 -83.0	-43.0	-80
 13.0	8.0	-70
 -8.0	4.0	-80
 58.0	-93.0	-75
 51.0	-48.0	-70
 0.0	4.0	-70
 11.0	18.0	-60
 11.0	24.0	-50
 90.0	-82.0	-45
 -4.0	49.0	-45
 53.0	-100.0	-40
 -17.0	41.0	-50
 -44.0	53.0	-60
 -26.0	3.0	-70
 4.0	6.0	-70
 -5.0	-14.0	-85
 -5.0	-10.0	-100
 -6.0	-13.0	-115
 -63.0	-50.0	-130
 -23.0	0.0	-140
 -24.0	-11.0	-155
 -6.0	-4.0	-165
 54.0	53.0	-155
 14.0	19.0	-145
 11.0	12.0	-135
 19.0	12.0	-125
 100.0	62.0	-115
 -21.0	17.0	-125
 -81.0	31.0	-135
 -171.0	27.0	-140
 -55.0	-128.0	0
 -42.0	-17.0	-15
 142.0	82.0	-10
 -14.0	8.0	-20
 39.0	40.0	-10
 5.0	12.0	0
 -12.0	-10.0	-15
 -61.0	-76.0	-30
 -30.0	24.0	-40
 23.0	15.0	-30
 19.0	-5.0	-25
 16.0	3.0	-15
 8.0	8.0	-5
 0.0	9.0	-5
 0.0	7.0	-5
 1.0	6.0	-5
 2.0	4.0	-5
 63.0	-2.0	5
 90.0	-80.0	10
 42.0	18.0	20
 4.0	15.0	20
 -8.0	5.0	10
 3.0	3.0	10
 4.0	3.0	10
 0.0	3.0	10
 -3.0	-5.0	5
 -3.0	-2.0	5
 8.0	-1.0	15
 5.0	0.0	25
 52.0	203.0	30
 7.0	2.0	40
 -32.0	16.0	30
 32.0	0.0	40
 9.0	-5.0	45
 -2.0	-1.0	45
 0.0	-1.0	45
 -126.0	-42.0	35
 -349.0	-103.0	-5
 28.0	-69.0	0
 60.0	39.0	10
 218.0	107.0	15
 81.0	31.0	25
 28.0	20.0	35
 -293.0	57.0	0
 -213.0	26.0	-5
 208.0	301.0	0
 226.0	58.0	5
 437.0	-43.0	-5
 126.0	7.0	0
 31.0	11.0	10
 11.0	6.0	20
 -2.0	4.0	20
 1.0	2.0	20
 -146.0	19.0	15
 -48.0	-44.0	0
 62.0	-180.0	0
 3.0	-30.0	-5
 -29.0	-10.0	-20
 -216.0	-27.0	-30
 -62.0	6.0	-40
 -20.0	0.0	-50
 -231.0	-226.0	0
 -343.0	-332.0	0
 2.0	5.0	0
 245.0	239.0	0
 45.0	13.0	10
 -20.0	-22.0	-5
 -7.0	-5.0	-20
 0.0	1.0	-20
 0.0	-8.0	-25
 120.0	-161.0	0
 98.0	86.0	10
 -32.0	-1.0	0
 -1.0	15.0	0
 -3.0	21.0	0
